lsp_metric,ecoregion,elev_r,slope_r,aspect_r,elev_p,slope_p,aspect_p,is_elev_driver,is_slope_driver,is_aspect_driver
sos,40115,-0.722,-0.771,0,0.0671,0.0424,1,NO,YES,NO
sos,40301,0.193,-0.061,0,0.4903,0.8294,1,NO,NO,NO
sos,40401,0.669,0.02,-0.037,0.0002,0.9224,0.8711,YES,NO,NO
sos,40403,0.339,0.122,0,0.3717,0.7549,1,NO,NO,NO
sos,40501,0.865,0.305,0.142,0,0.2344,0.5868,YES,NO,NO
sos,40502,0.208,-0.535,0,0.5915,0.1381,1,NO,NO,NO
sos,81003,0.372,-0.441,0,0.4679,0.3809,1,NO,NO,NO
eos,40301,0.329,0.569,0,0.2721,0.0426,1,NO,YES,NO
eos,40401,0.157,-0.1,-0.48,0.5085,0.6739,0.0347,NO,NO,YES
eos,40403,0.359,-0.707,0,0.5528,0.1817,1,NO,NO,NO
eos,40501,-0.334,0.453,0,0.2885,0.1397,1,NO,NO,NO
eos,40502,0.881,-0.431,-0.345,0,0.1241,0.2195,YES,NO,NO
eos,81003,-0.822,0.243,0,0.0066,0.5294,1,YES,NO,NO
eos,81021,-0.064,-0.569,0.499,0.815,0.0214,0.0519,NO,YES,NO
pos,40115,0,-0.752,-0.039,1,0.0008,0.9163,NO,YES,NO
pos,40301,-0.33,-0.038,0.02,0.1002,0.8542,0.9385,NO,NO,NO
pos,40401,0.075,0.324,-0.189,0.6734,0.0615,0.2758,NO,NO,NO
pos,40403,0.47,0.186,0.136,0.0154,0.3633,0.505,YES,NO,NO
pos,40501,0.099,0.081,-0.315,0.6394,0.7013,0.1204,NO,NO,NO
pos,40502,-0.918,0.324,-0.203,0,0.1628,0.3847,YES,NO,NO
pos,40701,,-0.837,0,,0.0378,1,NO,YES,NO
pos,81003,0.692,-0.394,0.114,0.0015,0.1057,0.6582,YES,NO,NO
pos,81021,0.093,0.074,-0.082,0.7235,0.7772,0.7727,NO,NO,NO
