ecoregion,elevation,slope,aspect,n_trend_unfitted_count,n_trend_fitted_count,n_insig_trend_count,n_sig_trend_count,positive_sig_trend_count,negative_sig_trend_count,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,percent_sig_pixels,trend_asymmetry_ratio,lsp_change
40115,1,1,1.0,1041,28110,25498,3653,2671,982,3.5868951686712305,-2.708854091502616,1.8944709218903053,12.995375311277124,2.719959266802444,1
40115,1,1,2.0,1161,39197,35610,4748,3511,1237,3.2607174927949187,-2.5247154557758185,1.7534343088475723,12.11317192642294,2.838318512530315,1
40115,1,2,1.0,2037,101628,97227,6438,3740,2698,2.0532132070476967,-1.8379617764843368,0.42252198220000675,6.334868343369937,1.3862120088954781,0
40115,1,2,2.0,2201,127373,120314,9260,6134,3126,2.242452440833997,-1.9836916236129338,0.8157865287971607,7.269986574862805,1.962252079334613,0
40115,1,3,1.0,1854,74672,71912,4614,2868,1746,1.9145794830392857,-1.6850111224678632,0.5524457168460734,6.17902292693379,1.6426116838487972,0
40115,1,3,2.0,1738,88091,83373,6456,3622,2834,2.2205590037709366,-1.9625991217621497,0.3842718092602849,7.328785006413822,1.2780522230063514,0
40115,1,4,1.0,266,7528,7301,493,352,141,1.7529479510763641,-1.72330386717512,0.7587258286149863,6.548884165781084,2.49645390070922,1
40115,1,4,2.0,178,7873,7465,586,265,321,2.012628076162819,-1.923997751567151,-0.14378300011929768,7.4431601676616275,0.8255451713395638,0
40115,2,1,1.0,2,35,36,1,1,0,1.3370661054338728,,1.3370661054338728,2.857142857142857,inf,0
40115,2,1,2.0,2,48,46,4,3,1,1.9943866938383341,-1.7343215465545654,1.0622096337401092,8.333333333333332,3.0,1
40115,2,2,1.0,47,2794,2669,172,115,57,2.0044981523126637,-1.861280577857227,0.7233970615005488,6.1560486757337145,2.017543859649123,1
40115,2,2,2.0,35,2377,2266,146,100,46,2.2424247519565155,-2.1772827653829854,0.8499141643016039,6.142196045435423,2.1739130434782608,1
40115,2,3,1.0,258,9434,9000,692,508,184,2.0014487392701232,-1.7111254872500359,1.014290274415052,7.335170659317362,2.760869565217391,1
40115,2,3,2.0,173,7491,7142,522,347,175,2.1185934018752657,-1.979845483310435,0.7445956913245038,6.968362034441329,1.9828571428571429,0
40115,2,4,1.0,110,2210,2134,186,131,55,1.8222419485616534,-1.5988841312868736,0.8106186453806373,8.416289592760181,2.381818181818182,1
40115,2,4,2.0,49,2192,2085,156,107,49,2.305076801355712,-1.8748553922141133,0.9921493815805746,7.116788321167883,2.183673469387755,1
40115,3,2,1.0,0,1,1,0,0,0,,,,0.0,,0
40115,3,2,2.0,0,4,4,0,0,0,,,,0.0,,0
40115,3,3,1.0,1,2,3,0,0,0,,,,0.0,,0
40115,3,3,2.0,0,10,8,2,2,0,3.055425707499186,,3.055425707499186,20.0,inf,0
40115,3,4,2.0,0,2,1,1,1,0,2.6835742651247507,,2.6835742651247507,50.0,inf,0
40301,1,1,1.0,3,126,121,8,7,1,2.3054149515688716,-0.9138529557448167,1.9030064631546608,6.349206349206349,7.0,1
40301,1,1,2.0,2,154,139,17,13,4,1.9898393700597787,-2.304708085724114,0.9793576157576863,11.03896103896104,3.25,1
40301,1,2,1.0,167,5605,5399,373,251,122,1.981277981050025,-1.8777792809011704,0.7190662224493658,6.654772524531668,2.057377049180328,1
40301,1,2,2.0,237,8475,8097,615,442,173,2.0815635085200457,-1.8485579334655466,0.9760171516688136,7.256637168141593,2.554913294797688,1
40301,1,3,1.0,363,10081,9816,628,407,221,2.0193878402880467,-1.833228774689191,0.6636103372466939,6.22954072016665,1.841628959276018,0
40301,1,3,2.0,455,16158,15349,1264,944,320,2.2680058432092793,-2.1204635150111564,1.157000942393979,7.822750340388662,2.95,1
40301,1,4,1.0,38,880,845,73,51,22,2.0608267049693554,-2.195851725544211,0.7779921094721164,8.295454545454547,2.3181818181818183,1
40301,1,4,2.0,43,1520,1455,108,86,22,2.1075656547389525,-2.2723220491482383,1.2153663076508208,7.105263157894736,3.909090909090909,1
40301,2,1,1.0,19,453,435,37,30,7,2.207870339545402,-2.389745118159774,1.3380511988984767,8.167770419426049,4.285714285714286,1
40301,2,1,2.0,16,505,483,38,33,5,2.382145054872666,-1.9663024301928016,1.8099809121008936,7.524752475247524,6.6,1
40301,2,2,1.0,918,34247,32681,2484,1825,659,1.9908205900675535,-1.952387475870863,0.9446957448769671,7.25319006044325,2.769347496206373,1
40301,2,2,2.0,1010,37367,35409,2968,2356,612,2.0905102509050097,-2.0925885531257093,1.227957532553662,7.9428372628254875,3.849673202614379,1
40301,2,3,1.0,3446,101862,97804,7504,5245,2259,2.015998513204914,-2.0367060357872577,0.7959745824781926,7.366829632247551,2.3218238158477202,1
40301,2,3,2.0,3439,111972,105143,10268,8692,1576,2.18728997387208,-2.1804135039638926,1.5169061911422888,9.170149680277213,5.5152284263959395,1
40301,2,4,1.0,757,15569,15117,1209,806,403,2.0942648857374873,-2.029597614562745,0.7196440523040759,7.7654313057999875,2.0,0
40301,2,4,2.0,1053,29277,27582,2748,2402,346,2.2160326982286285,-2.2773124907859135,1.6502767173701747,9.386207603238036,6.942196531791907,1
