ecoregion,elevation,slope,aspect,n_trend_unfitted_count,n_trend_fitted_count,n_insig_trend_count,n_sig_trend_count,positive_sig_trend_count,negative_sig_trend_count,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,percent_sig_pixels,trend_asymmetry_ratio,lsp_change
40115,1,1,1.0,1041,28110,14641,14510,14152,358,0.007656562157337207,-0.007540466687027577,0.00728161134229361,51.618641053006044,39.53072625698324,1
40115,1,1,2.0,1161,39197,22547,17811,16712,1099,0.007169761005446144,-0.006093847528367617,0.006351350709636738,45.43970201801159,15.206551410373066,1
40115,1,2,1.0,2037,101628,77736,25929,25182,747,0.0048317024487657696,-0.004670331261375077,0.004557954167633632,25.51363797378675,33.71084337349398,1
40115,1,2,2.0,2201,127373,92442,37132,35878,1254,0.004571195779059708,-0.004694487286438482,0.004258280596356521,29.152175107754392,28.61084529505582,1
40115,1,3,1.0,1854,74672,59761,16765,16135,630,0.00470854244806271,-0.004539807864209432,0.004361005275576491,22.45152131990572,25.61111111111111,1
40115,1,3,2.0,1738,88091,65517,24312,23625,687,0.004267274328914364,-0.004218108653331776,0.004027497341879027,27.598733128242387,34.38864628820961,1
40115,1,4,1.0,266,7528,6528,1266,1078,188,0.004750163011574709,-0.004518757840046201,0.0033737355865314767,16.81721572794899,5.73404255319149,1
40115,1,4,2.0,178,7873,6242,1809,1688,121,0.004156897273996402,-0.004664156781168589,0.0035668765218267143,22.977264067064652,13.950413223140496,1
40115,2,1,1.0,2,35,35,2,2,0,0.0053911989834500755,,0.0053911989834500755,5.714285714285714,inf,1
40115,2,1,2.0,2,48,41,9,9,0,0.005358072460087859,,0.005358072460087859,18.75,inf,1
40115,2,2,1.0,47,2794,2281,560,529,31,0.00476810935535603,-0.0045438817206917455,0.004252624135074813,20.042949176807447,17.06451612903226,1
40115,2,2,2.0,35,2377,1937,475,460,15,0.004435537783031638,-0.005226750313100567,0.004130412895785357,19.983172065628942,30.666666666666668,1
40115,2,3,1.0,258,9434,7847,1845,1739,106,0.00468821192316395,-0.004342580656553873,0.004169369639451164,19.55692177231291,16.40566037735849,1
40115,2,3,2.0,173,7491,5996,1668,1595,73,0.00417561239602058,-0.004053411196009115,0.0038154692771847484,22.266720064076893,21.84931506849315,1
40115,2,4,1.0,110,2210,2052,268,214,54,0.004476784641720774,-0.004139516682093395,0.002740664225728367,12.126696832579185,3.962962962962963,1
40115,2,4,2.0,49,2192,1789,452,424,28,0.003756606003438942,-0.004098599414549093,0.0032700003580768515,20.62043795620438,15.142857142857142,1
40115,3,2,1.0,0,1,1,0,0,0,,,,0.0,,0
40115,3,2,2.0,0,4,4,0,0,0,,,,0.0,,0
40115,3,3,1.0,1,2,3,0,0,0,,,,0.0,,0
40115,3,3,2.0,0,10,10,0,0,0,,,,0.0,,0
40115,3,4,2.0,0,2,2,0,0,0,,,,0.0,,0
40120,1,1,1.0,19,2005,1192,832,828,4,0.008631780449074774,-0.00678444392979145,0.00855766398571484,41.49625935162094,207.0,1
