ecoregion,elevation,slope,aspect,n_trend_unfitted_count,n_trend_fitted_count,n_insig_trend_count,n_sig_trend_count,positive_sig_trend_count,negative_sig_trend_count,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,percent_sig_pixels,trend_asymmetry_ratio,lsp_change
40115,1,1,1.0,1134,28017,26188,2963,761,2202,1.6137303902597397,-1.9724352077290876,-1.051384914084303,10.575721883142378,0.3455949137148047,1
40115,1,1,2.0,1253,39105,36803,3555,1116,2439,1.3413073938263131,-1.9477419743337168,-0.9152302739493026,9.090909090909092,0.4575645756457565,1
40115,1,2,1.0,2039,101626,98065,5600,2389,3211,1.2679906143002457,-1.391561674856322,-0.2569776715000648,5.510400881664141,0.7440049828713796,0
40115,1,2,2.0,2201,127373,123651,5923,3013,2910,1.1997957473208432,-1.3821156307178033,-0.06871043368413089,4.650122082387948,1.0353951890034365,0
40115,1,3,1.0,1854,74672,71334,5192,1127,4065,1.3055169577745451,-1.3417310747696847,-0.7671069351939245,6.953074780372831,0.2772447724477245,1
40115,1,3,2.0,1738,88091,85748,4081,2189,1892,1.1964184830429045,-1.286154468748961,0.04546821967848163,4.632709357369085,1.1569767441860466,0
40115,1,4,1.0,266,7528,7278,516,65,451,1.1666383553422703,-1.2931665798896947,-0.9833074310717146,6.8544102019128585,0.14412416851441243,1
40115,1,4,2.0,178,7873,7740,311,201,110,1.1499828779526575,-1.27508918926864,0.29224034613805067,3.9502095770354377,1.8272727272727274,0
40115,2,1,1.0,2,35,36,1,0,1,,-1.6450962490505643,-1.6450962490505643,2.857142857142857,0.0,0
40115,2,1,2.0,2,48,48,2,1,1,1.829660670642547,-2.0032470703125,-0.08679319983497646,4.166666666666666,1.0,0
40115,2,2,1.0,47,2794,2665,176,36,140,1.4879615584102805,-1.4266134734000866,-0.8304503987116024,6.299212598425196,0.2571428571428571,1
40115,2,2,2.0,35,2377,2295,117,35,82,1.2854978006904363,-1.4323712462462743,-0.6193334971626429,4.9221708035338665,0.4268292682926829,0
40115,2,3,1.0,258,9434,8891,801,63,738,1.313046265825226,-1.49522849154595,-1.274352948831363,8.49056603773585,0.08536585365853659,1
40115,2,3,2.0,173,7491,7322,342,116,226,1.292461374548954,-1.434160354918926,-0.5093412887836214,4.565478574289147,0.5132743362831859,0
40115,2,4,1.0,110,2210,2078,242,28,214,1.3173930610882925,-1.3268785967710093,-1.0209298099112554,10.950226244343892,0.1308411214953271,1
40115,2,4,2.0,49,2192,2150,91,43,48,1.248175157936624,-1.6822993503907722,-0.2975696376646399,4.151459854014599,0.8958333333333334,0
40115,3,2,1.0,0,1,1,0,0,0,,,,0.0,,0
40115,3,2,2.0,0,4,4,0,0,0,,,,0.0,,0
40115,3,3,1.0,1,2,3,0,0,0,,,,0.0,,0
40115,3,3,2.0,0,10,10,0,0,0,,,,0.0,,0
40115,3,4,2.0,0,2,2,0,0,0,,,,0.0,,0
40301,1,1,1.0,3,126,119,10,2,8,0.9416707356770835,-1.522277141656868,-1.0294875661900775,7.936507936507936,0.25,1
40301,1,1,2.0,2,154,139,17,0,17,,-1.3695559131180175,-1.3695559131180175,11.03896103896104,0.0,1
40301,1,2,1.0,167,5605,5413,359,61,298,1.411583459267959,-1.4507315372021845,-0.9643771784704886,6.404995539696699,0.20469798657718122,1
40301,1,2,2.0,237,8475,8227,485,93,392,1.1291618568909252,-1.4098305164345606,-0.9229721850546219,5.722713864306785,0.2372448979591837,1
40301,1,3,1.0,363,10081,9762,682,105,577,1.3738815229261647,-1.4970098087003567,-1.0550104101361562,6.765201864894356,0.18197573656845753,1
40301,1,3,2.0,455,16158,15863,750,243,507,1.3097296555760882,-1.482913296082031,-0.5780969797448005,4.641663572224285,0.47928994082840237,0
40301,1,4,1.0,38,880,843,75,10,65,1.4693879994076835,-1.635545740344929,-1.2215545750445806,8.522727272727272,0.15384615384615385,1
40301,1,4,2.0,43,1520,1504,59,29,30,1.2046776537832302,-1.5382788872897817,-0.19004601116914868,3.8815789473684212,0.9666666666666667,0
40301,2,1,1.0,19,453,444,28,5,23,1.5226646584359822,-1.8013315895730377,-1.2077608309999985,6.181015452538632,0.21739130434782608,1
40301,2,1,2.0,16,505,488,33,4,29,1.219531818203159,-1.9647721477560278,-1.5787959094579445,6.534653465346535,0.13793103448275862,1
